freq,arg
60,-96.04083252
76.13766019,-89.09786224
96.61572165,-90.36990356
122.6015831,-90.52682495
155.5766278,-90.66903687
197.4206737,-90.77224731
250.5191362,-90.99203491
317.8990144,-91.18174744
403.4014522,-91.46659851
511.9007115,-91.88008881
649.5820403,-92.35145569
824.2942775,-92.98259735
1045.997293,-93.83013153
1327.329775,-94.93336487
1684.329722,-96.40658569
2137.348734,-98.55334473
2712.212194,-101.7659836
3441.691506,-107.330162
4367.372306,-119.246254
5542.025143,-154.7924957
7032.613785,140.7820129
8924.112644,115.0360794
11324.35093,105.4927216
14370.15972,100.6592255
18235.17229,97.74531555
23139.72253,95.7829895
29363.40551,94.35723877
37261.01651,93.27026367
47282.77689,92.40675354
60000,91.71981049